,open,close,high,low,total_turnover,volume
2009-01-05 09:31:00,2.228,2.2334,2.2388,2.2226,7850725.0,2734360.0
2009-01-05 09:32:00,2.2334,2.228,2.2388,2.228,3671570.0,1277924.0
2009-01-05 09:33:00,2.2334,2.228,2.2334,2.2226,2184117.0,761820.0
2009-01-05 09:34:00,2.2226,2.2173,2.228,2.2173,1451618.0,507253.0
2009-01-05 09:35:00,2.2226,2.2226,2.2226,2.2173,491744.0,172224.0
2009-01-05 09:36:00,2.2226,2.2173,2.2226,2.2173,693246.0,242788.0
2009-01-05 09:37:00,2.2173,2.2173,2.2226,2.2173,559397.0,195945.0
2009-01-05 09:38:00,2.2173,2.2173,2.2226,2.2173,1950198.0,682216.0
2009-01-05 09:39:00,2.2226,2.2173,2.2226,2.2173,1156302.0,404986.0
2009-01-05 09:40:00,2.2226,2.2173,2.2226,2.2119,4309740.0,1510004.0
2009-01-05 09:41:00,2.2119,2.2119,2.2173,2.2119,1348708.0,473640.0
2009-01-05 09:42:00,2.2119,2.2065,2.2119,2.2065,3679616.0,1293055.0
2009-01-05 09:43:00,2.2065,2.2065,2.2119,2.2011,3330511.0,1171405.0
2009-01-05 09:44:00,2.2119,2.2173,2.2173,2.2119,491917.0,172760.0
2009-01-05 09:45:00,2.2173,2.2065,2.2173,2.2065,402578.0,141391.0
2009-01-05 09:46:00,2.2173,2.2065,2.2173,2.2065,1694334.0,595261.0
2009-01-05 09:47:00,2.2065,2.2119,2.2119,2.2065,429248.0,150947.0
2009-01-05 09:48:00,2.2119,2.2065,2.2119,2.2065,563146.0,198026.0
2009-01-05 09:49:00,2.2065,2.2119,2.2119,2.2065,323164.0,113651.0
2009-01-05 09:50:00,2.2119,2.2119,2.2119,2.2065,792196.0,278306.0
2009-01-05 09:51:00,2.2119,2.2119,2.2119,2.2065,952893.0,334751.0
2009-01-05 09:52:00,2.2119,2.2173,2.2173,2.2119,436856.0,153243.0
2009-01-05 09:53:00,2.2119,2.2173,2.2173,2.2119,956713.0,335791.0
2009-01-05 09:54:00,2.2173,2.2119,2.2173,2.2065,1454038.0,510846.0
2009-01-05 09:55:00,2.2119,2.2119,2.2173,2.2065,1241901.0,436044.0
2009-01-05 09:56:00,2.2119,2.2119,2.2119,2.2065,718591.0,252403.0
2009-01-05 09:57:00,2.2119,2.2119,2.2119,2.2065,802510.0,281912.0
2009-01-05 09:58:00,2.2119,2.2065,2.2119,2.2065,424429.0,149301.0
2009-01-05 09:59:00,2.2065,2.2065,2.2065,2.2065,1109794.0,390547.0
2009-01-05 10:00:00,2.2065,2.2119,2.2119,2.2065,1788431.0,628554.0
2009-01-05 10:01:00,2.2119,2.2119,2.2119,2.2065,1541437.0,542148.0
2009-01-05 10:02:00,2.2065,2.2173,2.2173,2.2065,6237842.0,2190067.0
2009-01-05 10:03:00,2.2173,2.2226,2.2226,2.2173,6310373.0,2210518.0
2009-01-05 10:04:00,2.2173,2.2226,2.2226,2.2173,3697122.0,1292410.0
2009-01-05 10:05:00,2.2226,2.2226,2.2226,2.2173,1265614.0,442630.0
2009-01-05 10:06:00,2.2226,2.2173,2.2226,2.2173,4093464.0,1432400.0
2009-01-05 10:07:00,2.2173,2.2226,2.2226,2.2173,1191892.0,417218.0
2009-01-05 10:08:00,2.2173,2.2173,2.2226,2.2173,1995737.0,698462.0
2009-01-05 10:09:00,2.2173,2.2173,2.2173,2.2119,1585364.0,555529.0
2009-01-05 10:10:00,2.2173,2.2173,2.2226,2.2173,1076318.0,376514.0
2009-01-05 10:11:00,2.2173,2.2119,2.2226,2.2119,1418419.0,496750.0
2009-01-05 10:12:00,2.2065,2.2173,2.2173,2.2065,6844187.0,2402636.0
2009-01-05 10:13:00,2.2226,2.2173,2.2226,2.2119,1139352.0,399529.0
2009-01-05 10:14:00,2.2173,2.2119,2.2173,2.2119,482985.0,169347.0
2009-01-05 10:15:00,2.2119,2.2173,2.2173,2.2119,653122.0,229215.0
2009-01-05 10:16:00,2.2173,2.2173,2.2173,2.2119,804274.0,281936.0
2009-01-05 10:17:00,2.2173,2.2119,2.2173,2.2119,1030997.0,361706.0
2009-01-05 10:18:00,2.2173,2.2119,2.2173,2.2119,1310714.0,459742.0
2009-01-05 10:19:00,2.2173,2.2226,2.2226,2.2119,1905160.0,666249.0
2009-01-05 10:20:00,2.2226,2.2173,2.2226,2.2173,910952.0,318600.0
2009-01-05 10:21:00,2.2226,2.2226,2.2226,2.2173,1757628.0,614632.0
2009-01-05 10:22:00,2.2226,2.2226,2.2226,2.2173,2000759.0,699382.0
2009-01-05 10:23:00,2.2226,2.228,2.228,2.2173,2348553.0,820702.0
2009-01-05 10:24:00,2.228,2.2334,2.2334,2.2226,5521897.0,1925349.0
2009-01-05 10:25:00,2.228,2.2334,2.2334,2.228,6617504.0,2303961.0
2009-01-05 10:26:00,2.228,2.228,2.2334,2.228,6439288.0,2240814.0
2009-01-05 10:27:00,2.228,2.228,2.2334,2.228,3168618.0,1103024.0
2009-01-05 10:28:00,2.2226,2.2226,2.228,2.2226,4007989.0,1398858.0
2009-01-05 10:29:00,2.2334,2.228,2.2334,2.2226,5214382.0,1815356.0
2009-01-05 10:30:00,2.228,2.2334,2.2388,2.228,7448742.0,2591549.0
2009-01-05 10:31:00,2.2334,2.228,2.2388,2.228,1523022.0,529631.0
2009-01-05 10:32:00,2.2334,2.228,2.2334,2.228,3376120.0,1176090.0
2009-01-05 10:33:00,2.228,2.228,2.2334,2.2226,2480564.0,864494.0
2009-01-05 10:34:00,2.228,2.228,2.2334,2.228,2296940.0,799452.0
2009-01-05 10:35:00,2.228,2.228,2.2334,2.228,456758.0,159193.0
2009-01-05 10:36:00,2.228,2.228,2.2334,2.228,949030.0,330723.0
2009-01-05 10:37:00,2.228,2.228,2.2334,2.228,937785.0,326841.0
2009-01-05 10:38:00,2.2334,2.228,2.2334,2.228,1021706.0,355975.0
2009-01-05 10:39:00,2.228,2.2334,2.2334,2.228,3109319.0,1082808.0
2009-01-05 10:40:00,2.228,2.228,2.2334,2.228,1016852.0,353766.0
2009-01-05 10:41:00,2.228,2.228,2.2334,2.228,3720955.0,1294508.0
2009-01-05 10:42:00,2.228,2.2334,2.2334,2.228,943713.0,328332.0
2009-01-05 10:43:00,2.228,2.2334,2.2334,2.228,754680.0,262735.0
2009-01-05 10:44:00,2.2334,2.2334,2.2334,2.228,2459362.0,855179.0
2009-01-05 10:45:00,2.228,2.2334,2.2334,2.228,1208768.0,420729.0
2009-01-05 10:46:00,2.2334,2.2334,2.2334,2.228,1049177.0,365102.0
2009-01-05 10:47:00,2.228,2.2334,2.2334,2.228,970596.0,338406.0
2009-01-05 10:48:00,2.228,2.228,2.228,2.228,1210795.0,422093.0
2009-01-05 10:49:00,2.228,2.228,2.228,2.228,3099996.0,1080230.0
2009-01-05 10:50:00,2.228,2.228,2.228,2.2226,2139246.0,745921.0
2009-01-05 10:51:00,2.228,2.228,2.228,2.228,1159248.0,404008.0
2009-01-05 10:52:00,2.228,2.2226,2.2334,2.2226,6200328.0,2164362.0
2009-01-05 10:53:00,2.228,2.228,2.228,2.2226,264605.0,92304.0
2009-01-05 10:54:00,2.2226,2.2226,2.228,2.2226,212770.0,74290.0
